,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,Site_10,Site_11,Site_12,Site_13,Site_14,Site_15,Site_16,Site_17,Site_18,Site_19,Site_20,Site_21,Site_22,Site_23,Site_24,Site_25,Site_26,Site_27,Site_28,Site_29,Site_30,Site_31,Site_32,Site_33,Site_34,Site_35,Site_36,Site_37,Site_38,Site_39,Site_40,Site_41,Site_42,Site_43,Site_44,Site_45,Site_46,Site_47,Site_48
2017-11-01,1184.23,1039.1,985.9500000000003,1205.07,,6684.399999999999,1192.1000000000004,1256.1,982.6,1001.3999999999997,1060.56,1193.7,1134.8,1057.7,1108.2999999999997,1132.6,1074.6,900.5999999999998,1189.4,1036.6,1153.6,1104.6,1125.4,569.6,,,,,,,,,,,2173.76,1346.6600000000005,,,1548.92,,,,1573.2299999999998,2871.5799999999995,2303.38,2977.409999999999,2672.0999999999995,2298.95
2017-11-02,1210.9000000000005,1084.7,1013.91,1252.4400000000005,,6894.3,1238.6,1249.3999999999996,1023.5999999999997,997.4,1119.8499999999997,1168.5,1130.4,1073.9,1148.3000000000004,1128.6,1069.1000000000004,932.4,1241.9999999999998,1121.0,1219.6999999999996,1094.9999999999998,1130.4999999999998,625.9999999999999,,26.1,,,,,,,,,2031.04,1514.49,1387.8300000000004,,1539.5200000000007,,,,1537.35,2890.6,2290.59,2988.84,2658.9500000000007,2112.390000000001
2017-11-03,1247.6,1004.1999999999997,963.95,1222.4,,6841.0,1174.3000000000004,1210.3,990.3,1009.3000000000003,1035.0800000000004,1125.8000000000004,1112.6000000000006,1025.6,1233.8,1127.4,1072.2,885.8999999999997,1197.9,1054.7000000000003,1175.8,1106.5,1100.0000000000002,590.3000000000002,,8.200000000000001,,,,,,,,,2046.88,1624.2100000000007,1051.6900000000003,,1487.3999999999994,,,,1615.6899999999994,2737.920000000001,2289.75,2898.0600000000013,2642.380000000001,2475.31
2017-11-04,1246.9200000000005,936.1999999999997,877.9700000000001,1157.45,,6079.099999999998,1041.2,1086.7,879.3000000000003,854.7000000000003,922.9499999999997,1010.7999999999997,1156.5999999999995,934.0,992.6,1038.3999999999996,941.7,790.4,1048.3000000000004,911.2,1048.0,1007.6,982.1,442.9,,8.100000000000001,,,,,,,,,373.92,1276.4500000000005,18.82,,325.96,,,,888.5500000000003,1726.2000000000005,2127.39,2617.0199999999995,1429.6299999999994,564.29
2017-11-05,1189.2,830.8000000000003,798.9699999999997,975.69,,5221.499999999999,929.4,1068.0000000000002,767.6999999999998,785.7999999999997,854.5200000000002,933.9,1021.4000000000003,877.1999999999998,848.9000000000003,965.9,845.1999999999998,724.0,927.4,778.8000000000003,902.7999999999997,870.2,852.9,431.89999999999986,,8.200000000000001,,,,,,,,,511.20000000000016,1276.6999999999996,18.620000000000005,,318.24,,,,867.9100000000002,1849.85,2124.23,2320.600000000001,726.1500000000003,554.0000000000001
2017-11-06,1143.62,1004.0999999999997,1059.26,1203.4899999999998,,6899.1,1159.1,1272.6,971.6000000000003,972.0,1029.04,1110.4,1089.9999999999998,1032.6,1141.6,1182.7,1036.9,929.0999999999997,1182.6,1022.9000000000003,1167.1999999999996,1158.1999999999996,1067.6,602.4000000000002,,63.50000000000001,,,,,,,,,649.7600000000001,900.5399999999997,1456.9200000000005,,1465.64,,,,1473.89,2834.13,2266.9899999999993,2881.7199999999993,2556.36,2517.3100000000004
2017-11-07,1145.66,1054.9,972.1199999999997,1217.0199999999995,,6525.1,1157.7999999999995,1210.6999999999996,991.2000000000003,988.1999999999997,1034.39,1106.4,1164.7000000000005,1039.0000000000002,1132.7,1137.9,1064.5,1076.4,1186.6000000000004,980.1,1161.7,1125.3,1077.6999999999996,586.5,,106.49999999999994,,,,,,,,,785.2799999999999,1435.7299999999993,1360.6400000000008,,1551.48,,,,1527.1299999999994,2800.9599999999987,2264.15,2586.149999999999,943.05,2375.629999999999
2017-11-08,1165.4999999999995,1121.6,978.04,1206.09,,6832.600000000001,1183.5,1253.7999999999995,994.0000000000003,999.6,1062.7099999999996,1152.3,1149.4,1046.9999999999998,1211.6,1102.2,1078.6,1037.1999999999996,1177.1999999999996,1032.6,1179.3999999999996,1075.5,1137.2000000000005,634.1999999999998,,124.39999999999996,,,,,,,,,2041.44,1372.7899999999995,1401.7900000000004,,1544.2,,,,1542.2399999999993,2814.1099999999988,2292.0999999999995,2740.600000000001,2686.35,2877.740000000001
2017-11-09,1239.25,1117.8,1051.85,1294.36,,7173.4000000000015,1260.7,1394.8,1162.6,1078.4,1288.7300000000002,1260.5000000000002,1200.1999999999996,1146.7000000000005,1186.5000000000002,1245.4000000000005,1191.7,1168.9,1254.1000000000004,1177.9,1253.4,1204.6,1220.7,535.6999999999998,,239.5,,,,,,,,,2228.8,1371.13,1366.909999999999,,1516.1200000000006,,,,1661.6000000000006,2875.76,2265.78,2572.8399999999992,2558.7899999999995,2432.99
2017-11-10,1366.25,1188.6,1187.58,1331.9399999999996,,7596.400000000002,1280.7000000000005,1404.2,1155.5000000000002,1174.6999999999996,1390.8300000000006,1281.6,1301.3,1168.8000000000004,1251.5,1260.2,1203.1999999999996,1146.0,1278.6,1176.0999999999995,1314.9,1195.4,1275.9999999999998,610.2,76.02000000000002,694.6,,,,,,,,,2196.96,1193.7100000000005,1071.7,,1486.2,,,,1571.2700000000002,2753.9199999999987,2279.9500000000007,2452.620000000001,2620.67,2894.410000000001
