,Site,Category
0,1,Retail
1,2,Retail
2,3,Retail
3,4,Retail
4,5,Retail
5,6,Retail
6,7,Retail
7,8,Retail
8,9,Retail
9,10,Retail
10,11,Retail
11,12,Retail
12,13,Retail
13,14,Retail
14,15,Retail
15,16,Retail
16,17,Retail
17,18,Retail
18,19,Retail
19,20,Retail
20,21,Retail
21,22,Retail
22,23,Retail
23,24,Retail
24,25,Retail
25,26,Retail
26,27,Industrial 
27,28,Industrial 
28,29,Industrial 
29,30,Industrial 
30,31,Industrial 
31,32,Industrial 
32,33,Industrial 
33,34,Industrial 
34,35,Industrial 
35,36,Industrial 
36,37,Industrial 
37,38,Industrial 
38,39,Industrial 
39,40,Industrial 
40,41,Industrial 
41,42,Industrial 
42,43,Transport
43,44,Transport
44,45,Transport
45,46,Transport
46,47,Transport
47,48,Transport
