,Site_1_max,Site_2_max,Site_3_max,Site_4_max,Site_5_max,Site_6_max,Site_7_max,Site_8_max,Site_9_max,Site_10_max,Site_11_max,Site_12_max,Site_13_max,Site_14_max,Site_15_max,Site_16_max,Site_17_max,Site_18_max,Site_19_max,Site_20_max,Site_21_max,Site_22_max,Site_23_max,Site_24_max,Site_25_max,Site_26_max,Site_27_max,Site_28_max,Site_29_max,Site_30_max,Site_31_max,Site_32_max,Site_33_max,Site_34_max,Site_35_max,Site_36_max,Site_37_max,Site_38_max,Site_39_max,Site_40_max,Site_41_max,Site_42_max,Site_43_max,Site_44_max,Site_45_max,Site_46_max,Site_47_max,Site_48_max
2017-11-01,20.5,18.7,21.2,18.5,21.2,20.7,18.7,21.2,18.7,20.7,18.7,21.2,26.3,20.7,21.2,18.5,20.7,18.7,22.0,21.2,20.7,18.5,20.7,19.7,21.0,18.7,17.9,17.9,20.8,20.0,20.8,20.8,20.8,20.8,17.5,22.4,24.6,20.0,25.2,18.0,18.0,21.2,21.3,20.9,20.9,17.5,17.5,30.5
2017-11-02,20.9,19.5,23.0,19.5,23.0,21.5,19.5,23.0,19.5,21.9,19.5,23.0,26.5,21.5,23.0,19.5,21.9,19.5,23.0,23.0,21.5,19.5,21.5,17.4,22.3,19.5,23.0,23.0,21.9,23.7,21.9,21.9,21.9,21.9,15.8,17.1,23.3,23.7,26.5,,,23.0,22.1,22.3,22.3,15.8,15.8,27.6
2017-11-03,16.2,18.2,19.6,18.3,19.6,18.8,18.2,19.6,18.2,19.1,18.2,19.6,18.9,18.8,19.6,18.3,19.1,18.2,17.7,19.6,18.8,18.3,18.8,17.1,15.9,18.2,23.5,23.5,31.5,28.0,31.5,31.5,31.5,31.5,16.6,15.5,32.0,28.0,27.5,15.2,15.2,19.6,29.9,31.3,31.3,16.6,16.6,26.9
2017-11-04,18.2,19.9,22.4,21.7,22.4,21.4,19.9,22.4,19.9,22.0,19.9,22.4,23.3,21.4,22.4,21.7,22.0,19.9,21.4,22.4,21.4,21.7,21.4,16.6,19.6,19.9,15.8,15.8,18.5,20.7,18.5,18.5,18.5,18.5,16.1,18.2,17.5,20.7,27.6,16.2,16.2,22.4,16.9,17.1,17.1,16.1,16.1,30.7
2017-11-05,22.1,24.0,26.0,24.4,26.0,24.9,24.0,26.0,24.0,25.9,24.0,26.0,26.1,24.9,26.0,24.4,25.9,24.0,25.0,26.0,24.9,24.4,24.9,20.0,22.9,24.0,14.8,14.8,19.1,19.6,19.1,19.1,19.1,19.1,16.6,17.4,18.4,19.6,27.2,17.9,17.9,26.0,18.9,20.3,20.3,16.6,16.6,31.1
2017-11-06,17.2,19.3,21.8,20.6,21.8,20.4,19.3,21.8,19.3,21.1,19.3,21.8,23.9,20.4,21.8,20.6,21.1,19.3,20.6,21.8,20.4,20.6,20.4,18.0,18.9,19.3,17.6,17.6,26.1,26.0,26.1,26.1,26.1,26.1,16.9,20.7,24.7,26.0,27.0,17.6,17.6,21.8,24.9,27.1,27.1,16.9,16.9,32.7
2017-11-07,17.5,19.6,22.4,20.2,22.4,20.9,19.6,22.4,19.6,21.5,19.6,22.4,23.8,20.9,22.4,20.2,21.5,19.6,21.5,22.4,20.9,20.2,20.9,18.2,19.5,19.6,19.4,19.4,19.4,19.3,19.4,19.4,19.4,19.4,15.7,19.9,22.3,19.3,27.7,17.4,17.4,22.4,19.9,19.8,19.8,15.7,15.7,36.4
2017-11-08,23.1,22.7,26.6,22.8,26.6,25.1,22.7,26.6,22.7,25.6,22.7,26.6,28.4,25.1,26.6,22.8,25.6,22.7,26.1,26.6,25.1,22.8,25.1,18.0,24.7,22.7,16.2,16.2,19.4,20.9,19.4,19.4,19.4,19.4,17.6,21.5,21.3,20.9,24.9,22.0,22.0,26.6,19.6,20.2,20.2,17.6,17.6,35.6
2017-11-09,28.5,29.9,31.8,28.3,31.8,30.7,29.9,31.8,29.9,31.2,29.9,31.8,32.1,30.7,31.8,28.3,31.2,29.9,30.1,31.8,30.7,28.3,30.7,24.4,28.7,29.9,20.1,20.1,21.5,23.0,21.5,21.5,21.5,21.5,20.5,23.1,23.9,23.0,24.4,26.8,26.8,31.8,22.7,23.0,23.0,20.5,20.5,31.6
2017-11-10,31.7,34.0,35.3,34.0,35.3,34.1,34.0,35.3,34.0,34.3,34.0,35.3,34.6,34.1,35.3,34.0,34.3,34.0,34.0,35.3,34.1,34.0,34.1,30.8,31.6,34.0,21.1,21.1,22.0,23.8,22.0,22.0,22.0,22.0,24.1,21.8,25.1,23.8,24.3,30.0,30.0,35.3,23.1,23.7,23.7,24.1,24.1,32.0
